County,Year,% High School,% Bachelor's or Higher,% Unemployment Rate,% Income < 50000,Square Land Miles,% Hispanic,% Black,% Native American,% Asian,% Hawaiian,% Other Races,% More Than One Races,% Male,% Female,% Diversity Index 2020,Eligible Voters,Total Population,Total_Votes,Prev Democratic Vote Share
Huntingdon,2020,0.9109999999999999,0.253,0.027999999999999997,0.466,874.7,0.02,0.055,0.002,0.006,0.0,0.005,0.019,0.532,0.46799999999999997,0.19690000000000002,36519.0,"45,145",22792.0,0.2303
Indiana,2016,0.893,0.21899999999999997,0.044000000000000004,0.544,827.4,0.013000000000000001,0.024,0.002,0.011000000000000001,0.0,0.003,0.013000000000000001,0.502,0.498,0.1705,70723.0,"87,491",37770.0,0.3985
Indiana,2020,0.693,0.325,0.04,0.507,827.4,0.013000000000000001,0.023,0.001,0.009000000000000001,0.0,0.005,0.022000000000000002,0.501,0.499,0.1705,68218.0,"84,463",41198.0,0.30519999999999997
Jefferson,2016,0.9940000000000001,0.239,0.03,0.562,652.4,0.008,0.006,0.002,0.002,0.001,0.001,0.006999999999999999,0.49700000000000005,0.503,0.0943,35052.0,"44,575",19478.0,0.2645
Jefferson,2020,0.9940000000000001,0.239,0.026000000000000002,0.504,652.4,0.01,0.005,0.001,0.003,0.0,0.003,0.013999999999999999,0.498,0.502,0.0943,34213.0,"43,570",22824.0,0.18739999999999998
Juniata,2016,0.935,0.258,0.032,0.511,391.4,0.031,0.009000000000000001,0.0,0.005,0.0,0.012,0.006999999999999999,0.498,0.502,0.13570000000000002,18940.0,"24,811",10454.0,0.2671
Juniata,2020,0.935,0.258,0.017,0.46299999999999997,391.4,0.039,0.013000000000000001,0.0,0.003,0.0,0.006,0.018000000000000002,0.49700000000000005,0.503,0.13570000000000002,18822.0,"24,657",12043.0,0.17420000000000002
Lackawanna,2016,0.902,0.27,0.039,0.532,459.0,0.063,0.03,0.001,0.023,0.0,0.006,0.016,0.483,0.517,0.3307,164940.0,"213,006",103456.0,0.6309
Lackawanna,2020,0.626,0.423,0.025,0.46399999999999997,459.0,0.08,0.027999999999999997,0.001,0.03,0.001,0.011000000000000001,0.038,0.485,0.515,0.3307,161960.0,"210,162",115410.0,0.5025
Lancaster,2016,0.848,0.25,0.036000000000000004,0.41600000000000004,943.9,0.098,0.040999999999999995,0.002,0.021,0.0,0.03,0.021,0.49,0.51,0.3502,394587.0,"533,110",241112.0,0.3978
Lancaster,2020,0.715,0.405,0.024,0.34,943.9,0.10800000000000001,0.040999999999999995,0.001,0.023,0.0,0.027999999999999997,0.032,0.49,0.51,0.3502,405060.0,"543,050",280239.0,0.3778
Lawrence,2016,0.903,0.22899999999999998,0.038,0.536,357.4,0.012,0.038,0.001,0.005,0.0,0.005,0.019,0.484,0.516,0.2195,70164.0,"88,528",40753.0,0.4486
Lawrence,2020,0.828,0.293,0.038,0.499,357.4,0.015,0.036000000000000004,0.001,0.004,0.0,0.002,0.034,0.483,0.517,0.2195,68593.0,"86,148",46076.0,0.34380000000000005
Lebanon,2016,0.8859999999999999,0.20600000000000002,0.042,0.43,361.8,0.11699999999999999,0.021,0.001,0.012,0.0,0.065,0.022000000000000002,0.489,0.511,0.3454,103191.0,"136,950",61845.0,0.3517
Lebanon,2020,0.8740000000000001,0.278,0.031,0.39399999999999996,361.8,0.136,0.025,0.001,0.015,0.0,0.075,0.028999999999999998,0.491,0.509,0.3454,106457.0,"140,410",71652.0,0.3065
Lehigh,2016,0.892,0.294,0.051,0.436,345.3,0.218,0.067,0.002,0.033,0.0,0.08199999999999999,0.028999999999999998,0.48700000000000004,0.513,0.5565,262636.0,"358,792",160993.0,0.5325
Lehigh,2020,0.66,0.41200000000000003,0.04,0.38299999999999995,345.3,0.254,0.073,0.003,0.033,0.0,0.06,0.069,0.489,0.511,0.5565,266896.0,"367,338",184713.0,0.5051
Luzerne,2016,0.894,0.23,0.046,0.527,889.7,0.09300000000000001,0.04,0.003,0.011000000000000001,0.0,0.032,0.018000000000000002,0.493,0.507,0.38549999999999995,247479.0,"318,917",134983.0,0.5168
Luzerne,2020,0.72,0.327,0.037000000000000005,0.47100000000000003,889.7,0.129,0.052000000000000005,0.002,0.012,0.001,0.040999999999999995,0.033,0.494,0.506,0.38549999999999995,244740.0,"317,547",153321.0,0.3886
Lycoming,2016,0.9079999999999999,0.212,0.045,0.514,"1,228.9",0.018000000000000002,0.049,0.002,0.006999999999999999,0.0,0.006,0.018000000000000002,0.491,0.509,0.233,91639.0,"116,313",50565.0,0.327
Lycoming,2020,0.764,0.292,0.03,0.45399999999999996,"1,228.9",0.021,0.048,0.001,0.008,0.0,0.004,0.027999999999999997,0.49,0.51,0.233,89727.0,"114,014",59254.0,0.2575
McKean,2016,0.878,0.282,0.044000000000000004,0.562,979.7,0.021,0.026000000000000002,0.002,0.005,0.0,0.006,0.016,0.517,0.483,0.1607,33722.0,"42,609",16296.0,0.3506
McKean,2020,0.878,0.282,0.036000000000000004,0.508,979.7,0.022000000000000002,0.024,0.001,0.004,0.0,0.01,0.018000000000000002,0.517,0.483,0.1607,32575.0,"41,021",19466.0,0.247
Mercer,2016,0.903,0.221,0.035,0.539,672.5,0.013000000000000001,0.057,0.001,0.006999999999999999,0.0,0.003,0.018000000000000002,0.493,0.507,0.2263,90691.0,"114,598",52309.0,0.4764
Mercer,2020,0.8370000000000001,0.285,0.032,0.495,672.5,0.015,0.061,0.001,0.008,0.0,0.003,0.02,0.493,0.507,0.2263,88667.0,"110,519",57954.0,0.35810000000000003
Mifflin,2016,0.94,0.185,0.03,0.584,411.0,0.013999999999999999,0.006,0.001,0.005,0.001,0.004,0.012,0.491,0.509,0.1165,35859.0,"46,585",18601.0,0.261
